domain,topology,seed,within_island,between_island,pooled_exact,pooled_reconstructed,pooled_sampled_repro,pooled_published,final_best_fitness,final_mean_fitness
nk4,star_undirected,14,0.02878694,0.02986960,0.02965655,0.02965655,0.03200000,0.03200000,0.76406753,0.75057815
nk4,star_undirected,15,0.03634286,0.03918960,0.03862940,0.03862940,0.04000000,0.04000000,0.76589813,0.74933681
nk4,star_undirected,16,0.02850122,0.02946080,0.02927197,0.02927197,0.02450000,0.02450000,0.75405615,0.74271060
nk4,star_undirected,17,0.07612898,0.22623840,0.19669880,0.19669880,0.20650000,0.20650000,0.75267154,0.73507246
nk4,star_undirected,18,0.03258122,0.03379040,0.03355245,0.03355245,0.03350000,0.03350000,0.75851827,0.74550163
nk4,star_undirected,19,0.02993959,0.03109440,0.03086715,0.03086715,0.03250000,0.03250000,0.74865375,0.73605290
nk4,star_undirected,20,0.02558367,0.02615040,0.02603888,0.02603888,0.01950000,0.01950000,0.75190480,0.74060399
nk4,star_undirected,21,0.03034286,0.03261840,0.03217060,0.03217060,0.02600000,0.02600000,0.77066010,0.75693654
nk4,star_undirected,22,0.03825959,0.04223440,0.04145221,0.04145221,0.03900000,0.03900000,0.75446824,0.73925064
nk4,star_undirected,23,0.02962939,0.03126400,0.03094233,0.03094233,0.03100000,0.03100000,0.75945617,0.74768351
nk4,star_undirected,24,0.04885551,0.10128160,0.09096482,0.09096482,0.10450000,0.10450000,0.76006274,0.74227752
nk4,star_undirected,25,0.03210122,0.03335520,0.03310843,0.03310843,0.02950000,0.02950000,0.76121553,0.74731934
nk4,star_undirected,26,0.03562939,0.03670640,0.03649446,0.03649446,0.03900000,0.03900000,0.75296678,0.73867617
nk4,star_undirected,27,0.03536327,0.03745520,0.03704353,0.03704353,0.04000000,0.04000000,0.76148319,0.74556539
nk4,star_undirected,28,0.03319347,0.03445360,0.03420562,0.03420562,0.03200000,0.03200000,0.74832283,0.73500629
nk4,star_undirected,29,0.04147429,0.08528480,0.07666345,0.07666345,0.08400000,0.08400000,0.76897626,0.75283942
onemax,star_hub_out,0,0.02402612,0.02430960,0.02425382,0.02425382,0.02100000,0.02100000,1.00000000,0.98768000
onemax,star_hub_out,1,0.02942531,0.02973520,0.02967422,0.02967422,0.02400000,0.02400000,1.00000000,0.98492000
onemax,star_hub_out,2,0.02602939,0.02628000,0.02623068,0.02623068,0.03000000,0.03000000,1.00000000,0.98668000
onemax,star_hub_out,3,0.02984000,0.03014720,0.03008675,0.03008675,0.03350000,0.03350000,1.00000000,0.98468000
onemax,star_hub_out,4,0.02877388,0.02917600,0.02909687,0.02909687,0.03350000,0.03350000,1.00000000,0.98520000
onemax,star_hub_out,5,0.02527347,0.02569840,0.02561478,0.02561478,0.02350000,0.02350000,1.00000000,0.98696000
onemax,star_hub_out,6,0.03035429,0.03086880,0.03076755,0.03076755,0.02800000,0.02800000,1.00000000,0.98432000
onemax,star_hub_out,7,0.02564898,0.02588560,0.02583904,0.02583904,0.02550000,0.02550000,1.00000000,0.98688000
onemax,star_hub_out,8,0.03190857,0.03228880,0.03221398,0.03221398,0.03400000,0.03400000,1.00000000,0.98360000
onemax,star_hub_out,9,0.02606367,0.02639040,0.02632610,0.02632610,0.02400000,0.02400000,1.00000000,0.98664000
onemax,star_hub_out,10,0.02888327,0.02937760,0.02928032,0.02928032,0.02650000,0.02650000,1.00000000,0.98508000
onemax,star_hub_out,11,0.02720000,0.02762800,0.02754378,0.02754378,0.03300000,0.03300000,1.00000000,0.98600000
onemax,star_hub_out,12,0.02607020,0.02639280,0.02632932,0.02632932,0.02500000,0.02500000,1.00000000,0.98664000
onemax,star_hub_out,13,0.03097143,0.03133680,0.03126490,0.03126490,0.02900000,0.02900000,1.00000000,0.98408000
