graph_id,lambda2,domain,seed,final_diversity,final_best_fitness,final_mean_fitness
rand3_12_s13,0.4471,nk4,18,0.0225,0.7647416361665931,0.7560218918460584
rand3_12_s13,0.4471,nk4,19,0.016,0.7745848910547823,0.7667072282109536
rand3_12_s8,0.6069,onemax,0,0.016000000000000004,1.0,0.9926833333333336
rand3_12_s8,0.6069,onemax,1,0.012999999999999998,1.0,0.9925166666666666
rand3_12_s8,0.6069,onemax,2,0.015500000000000003,1.0,0.9919166666666667
rand3_12_s8,0.6069,onemax,3,0.015500000000000003,1.0,0.9923
rand3_12_s8,0.6069,onemax,4,0.018000000000000002,1.0,0.9906833333333335
rand3_12_s8,0.6069,onemax,5,0.015999999999999997,1.0,0.9923166666666666
rand3_12_s8,0.6069,onemax,6,0.018,1.0,0.9920166666666668
rand3_12_s8,0.6069,onemax,7,0.018000000000000006,1.0,0.9923833333333334
rand3_12_s8,0.6069,onemax,8,0.017500000000000005,1.0,0.9908833333333334
rand3_12_s8,0.6069,onemax,9,0.012,1.0,0.9923
rand3_12_s8,0.6069,onemax,10,0.018000000000000006,1.0,0.9915000000000002
rand3_12_s8,0.6069,onemax,11,0.015500000000000003,1.0,0.9919166666666668
rand3_12_s8,0.6069,onemax,12,0.014500000000000002,1.0,0.9915833333333334
rand3_12_s8,0.6069,onemax,13,0.015500000000000003,1.0,0.99165
rand3_12_s8,0.6069,onemax,14,0.019500000000000007,1.0,0.9913833333333334
rand3_12_s8,0.6069,onemax,15,0.020500000000000008,1.0,0.9923
rand3_12_s8,0.6069,onemax,16,0.018000000000000006,1.0,0.9921166666666669
rand3_12_s8,0.6069,onemax,17,0.019500000000000003,1.0,0.9921166666666666
rand3_12_s8,0.6069,onemax,18,0.020000000000000007,1.0,0.9902333333333335
rand3_12_s8,0.6069,onemax,19,0.011499999999999998,1.0,0.9929333333333333
rand3_12_s8,0.6069,nk4,0,0.025500000000000005,0.7552141198413121,0.7469603535205122
rand3_12_s8,0.6069,nk4,1,0.14350000000000002,0.7602192345211307,0.7505033932979746
rand3_12_s8,0.6069,nk4,2,0.029000000000000005,0.7673902245149986,0.7578857673208139
rand3_12_s8,0.6069,nk4,3,0.1265,0.7646715457750001,0.754463744797505
rand3_12_s8,0.6069,nk4,4,0.026500000000000006,0.7607812762928952,0.7529371759332524
rand3_12_s8,0.6069,nk4,5,0.027000000000000003,0.7751044795736118,0.7661746547401314
rand3_12_s8,0.6069,nk4,6,0.016999999999999998,0.770670365589405,0.7619346758294201
rand3_12_s8,0.6069,nk4,7,0.13899999999999998,0.7667997680491959,0.7553172280126296
rand3_12_s8,0.6069,nk4,8,0.029500000000000005,0.7602787823274187,0.7510150089961588
rand3_12_s8,0.6069,nk4,9,0.019500000000000003,0.771134987515694,0.7632565751444857
rand3_12_s8,0.6069,nk4,10,0.027000000000000007,0.7702987677719665,0.7617882081113754
rand3_12_s8,0.6069,nk4,11,0.1485,0.7700906528532646,0.7599923585548648
rand3_12_s8,0.6069,nk4,12,0.0245,0.7761500048285249,0.7666998889483044
rand3_12_s8,0.6069,nk4,13,0.030000000000000006,0.759834489707509,0.752281292915838
rand3_12_s8,0.6069,nk4,14,0.023,0.7566131789833922,0.7487553370101996
rand3_12_s8,0.6069,nk4,15,0.020499999999999997,0.763842262207296,0.7552552003537439
rand3_12_s8,0.6069,nk4,16,0.12099999999999997,0.7678946453357378,0.7578110454158444
rand3_12_s8,0.6069,nk4,17,0.033,0.7646332841939586,0.754932852992857
rand3_12_s8,0.6069,nk4,18,0.023500000000000004,0.7732486833387617,0.7626789559360365
rand3_12_s8,0.6069,nk4,19,0.020999999999999998,0.7518957398820276,0.7446654547976649
rand3_12_s43,0.7329,onemax,0,0.013499999999999998,1.0,0.9925666666666666
rand3_12_s43,0.7329,onemax,1,0.011499999999999998,1.0,0.9923833333333334
rand3_12_s43,0.7329,onemax,2,0.014500000000000004,1.0,0.9920166666666668
rand3_12_s43,0.7329,onemax,3,0.015500000000000003,1.0,0.9922666666666667
rand3_12_s43,0.7329,onemax,4,0.018000000000000006,1.0,0.9907500000000001
rand3_12_s43,0.7329,onemax,5,0.018999999999999996,1.0,0.99245
rand3_12_s43,0.7329,onemax,6,0.0195,1.0,0.9920833333333333
rand3_12_s43,0.7329,onemax,7,0.017500000000000005,1.0,0.9923833333333334
rand3_12_s43,0.7329,onemax,8,0.016500000000000004,1.0,0.9911833333333334
rand3_12_s43,0.7329,onemax,9,0.013000000000000001,1.0,0.9925166666666666
rand3_12_s43,0.7329,onemax,10,0.0175,1.0,0.9915666666666667
rand3_12_s43,0.7329,onemax,11,0.014499999999999999,1.0,0.9921833333333332
rand3_12_s43,0.7329,onemax,12,0.015000000000000003,1.0,0.9915500000000002
rand3_12_s43,0.7329,onemax,13,0.012,1.0,0.9917833333333335
rand3_12_s43,0.7329,onemax,14,0.019500000000000007,1.0,0.9913000000000002
rand3_12_s43,0.7329,onemax,15,0.017500000000000005,1.0,0.9924833333333334
rand3_12_s43,0.7329,onemax,16,0.018500000000000006,1.0,0.9919166666666667
rand3_12_s43,0.7329,onemax,17,0.019500000000000003,1.0,0.9922000000000001
rand3_12_s43,0.7329,onemax,18,0.021000000000000008,1.0,0.9903833333333334
rand3_12_s43,0.7329,onemax,19,0.011999999999999999,1.0,0.9929333333333333
rand3_12_s43,0.7329,nk4,0,0.020500000000000004,0.7663390785326587,0.7580567942606854
rand3_12_s43,0.7329,nk4,1,0.020499999999999997,0.772954217864532,0.7638610518212173
rand3_12_s43,0.7329,nk4,2,0.019500000000000007,0.7751003468448531,0.7656217915560417
rand3_12_s43,0.7329,nk4,3,0.028500000000000004,0.7589576552973841,0.7503942364159064
rand3_12_s43,0.7329,nk4,4,0.026999999999999996,0.7566624578752578,0.7472082083175938
rand3_12_s43,0.7329,nk4,5,0.025,0.7731245224790869,0.7640350978093274
rand3_12_s43,0.7329,nk4,6,0.0195,0.76912153051177,0.761041224465381
rand3_12_s43,0.7329,nk4,7,0.018999999999999996,0.7744890004652754,0.7664706397000094
rand3_12_s43,0.7329,nk4,8,0.0225,0.7709499965615862,0.7613626852206603
