generation,leafWithinDiv,hubWithinDiv
452,0.036739,0.031755
453,0.041018,0.044008
454,0.041243,0.047796
455,0.038900,0.046906
456,0.034786,0.052645
457,0.030241,0.057894
458,0.032894,0.055853
459,0.033871,0.062082
460,0.036973,0.058955
461,0.043200,0.051510
462,0.037955,0.047061
463,0.038059,0.047739
464,0.039031,0.053380
465,0.042253,0.050906
466,0.042573,0.046971
467,0.041239,0.047208
468,0.038924,0.051788
469,0.039584,0.051682
470,0.042863,0.049412
471,0.049571,0.055388
472,0.041918,0.050237
473,0.042231,0.047273
474,0.039476,0.043935
475,0.038649,0.042939
476,0.039816,0.043249
477,0.041071,0.048588
478,0.039686,0.050024
479,0.038204,0.054890
480,0.040714,0.051624
481,0.036127,0.053698
482,0.036680,0.049429
483,0.036863,0.051020
484,0.040404,0.044890
485,0.042880,0.043420
486,0.042284,0.052735
487,0.040578,0.054098
488,0.038978,0.055608
489,0.040016,0.055592
490,0.047182,0.057257
491,0.049016,0.055943
492,0.042849,0.058531
493,0.041798,0.056335
494,0.043302,0.060955
495,0.039410,0.059331
496,0.038165,0.053469
497,0.038780,0.054343
498,0.037608,0.055380
499,0.038333,0.056106
500,0.040994,0.048237
